PrecinctKey,Votes for Donna,Votes for Christine,Total,Vote Percentage,Margin
4910428,111,68,179,0.6201117318,0.2402234637
4910429,67,45,112,0.5982142857,0.1964285714
4910434,44,42,86,0.511627907,0.02325581395
4910436,12,16,28,0.4285714286,-0.1428571429
4910455,152,122,274,0.5547445255,0.1094890511
4910456,67,50,117,0.5726495726,0.1452991453
4910463,385,185,570,0.6754385965,0.350877193
4910480,350,207,557,0.6283662478,0.2567324955
4910484,310,184,494,0.6275303644,0.2550607287
4910488,151,107,258,0.5852713178,0.1705426357
4910489,247,178,425,0.5811764706,0.1623529412
4910490,95,69,164,0.5792682927,0.1585365854
4910491,321,179,500,0.642,0.284
4910368,197,158,355,0.5549295775,0.1098591549
4910394,268,335,603,0.4444444444,-0.1111111111
